Subject	Content	SA							
1	we have a similar circumstance in australia. jan 25 is australia day & many first peoples call it invasion day.	0							
1	paul-and5homos: harry and louis are just fri- eleanor is such an inspira- harry is such a manwho- louis is...	0							
1	"#web apple software, retail chiefs out in overhaul: san francisco (reuters) - apple inc ceo tim cook on monday replaced the heads of ..."	0							
1	"you two may fight like cats and dogs, but you're completely head over heels for each other. you two are like allie and noah in the notebook."	1							
1	\ damn next saturday tho\ niggas was trynna get shit over with #early	-1							
1	and the 4th one is for harry styles!! <33333	0							
1	"this guy so much like bruno mars, it's crazy. he may be his long lost twin."	0							
1	"blog post: mtv's \teen mom 2\ returns for an intense third season with chelsea, jenelle, kailyn and leah on monday,..."	0							
1	the business leader's award ceremony will be held during the  annual meeting in davos on the  25 january 2013!	0							
1	hi elif  greetings from usa midwest  how is school going?  happy turkish republic day!  i can't wait for nov 8 #newglee yes!	1							
1	hoping to look fit tomorrow on the jeremy kyle show #itvfashion	1							
1	me you and joe gone chill saturday of i come tho	0							
1	"\obma fails 2unite us, he divides us by sex, color,party,age, wealth nevada's 1st latino governor votes early for romney, predicts gop win\"	-1							
1	grammys concert pays moving tribute to whitney houston: whitney houston was given a final sendoff by the grammys on thursday as halle...	1							
1	"calling all voters, i'm calling on nevada,florida,ohio,tuesday night is the night u guys will i repeat will shine for the president lets go!"	0							
1	we tallied up the votes and are announcing the winners for calling all communities! tune in  on nov 1st at 11am (cst)	0							
1	it's radio 1 rocks next -  week starting off with a live lounge on  show with bullet for my valentine on monday	0							
1	drew peterson is #untouchable no more! check out these movie photos before you watch on sun at 7/6c:	1							
1	im just a 19 year old still on loan for the 3rd time at coventry 79 overall hopefully when i return bale will still be ther	0							
1	"halloween may be the second worst holiday, right after valentine's day"	-1							
1	pumped to open the season tomorrow night against georgetown!  women's preview:  | men's preview:	1							
1	just found a piece of candy that may have been injected with something. #why	-1							
1	apple shakeup mobile software boss eased out: apple inc. ceo tim cook on monday pushed out the powerful head of the company&#039;s mo...	0							
1	somehow i managed to \lose\ my princess leia bra on saturday. i'm going to noel gallagher as \glock at phish\ ie jorts&tank.	0							
1	"i may relent and get one myself, but i hope it doesn't come to that. hopefully all the decent apps will get ported to android"	0							
1	"android 4.2 camera app with photo sphere now available for galaxy nexus: introduced on monday, android 4.2 bring..."	0							
1	"saeed: #nowplaying: bep, ricky martin and kt tunstall! great songs to get you through your sunday! hate the rain!!"	1							
1	"nope, it's just camden, eating greek food with a pumpkin... just another wednesday."	0							
1	are you ready to shop the new collection from h&m tomorrow?? the grey concept from h&m  #fashion #shopping #highstreet	0							
1	"faq: what is 'skeuomorphic design' and the executive shakeup at apple: san francisco, ca - march 07:  apple ceo ..."	0							
1	fact of the day; halloween night is papa john's second busiest night of the year behind super bowl sunday.	0							
1	no one can hold a candle to queen coco. if she's still doing shows in august for my wedding we have to go!!!	1							
1	omg. ricky martin may be gay but he is one fine ass gay man.	1							
1	the clippers are playing the cavaliers on monday and are having a night to honor israel! :) wish you were in la still.	1							
1	on the bright side tomorrow's chocolate day #getexcited	1							
1	um i just learned that sunday is national chocolate day. i'm totally taking advantage of that.	1							
1	"to all 90's ladies, see you on 15th dec - axl rose.    (teaser biar gak kecewa)"	0							
1	"noel gallagher: \musicians are fucking idiots.\ - yeah, brian may - he's an idiot... an idiot who just so happens to be a professor?"	-1							
1	vow is likely to return from a midsummer break in the prix de royallieu at longchamp on saturday.	0							
1	"hell yea lmfaoo , & see you tomorrow asia baby (;"	1							
1	i wanted you to know that here in argentina is going to make a directioner fest 10 november te amo te amo te amo!	0							
1	"its november already.. christmas will be here soon, then new year, then valentine's day then graduation?!?!"	0							
1	#nowplaying michael jackson - she's out of my life (live at wembley july 16.  l.o.v.e it! #mjtunes	1							
1	niggas be on the lakers dick...we still gon finish damn near first seed...while yo team be struggling for the 8th spot	-1							
1	"october  people have principles..& argue passionately for them, about them & act on them.  ghandi, sadat, adt, me!"	1							
1	amber fantastic news!!! we will reunite with barbara and jenelle on november 21st when teen mom 2 premieres!!	1							
1	i need another viv necklace... may buy myself one for valentines day #nojoke	0							
1	i'm in the bathroom bumping \niggas in paris\ crunk ass hell like it's my 1st time hearing it this song will never get old lol	1							
1	"just got tickets to see muse in florida. that, combined with the grammys two weeks prior, equals a really busy february for ruby and myself."	0							
1	welcome nick j! :\) \  in manila! so excited for the show on friday.	1							
1	battle for the 17th banner: royal rumble basketball edition	0							
1	no matter what anyone says...ray lewis may be the best defensive player to ever play the game. hes got heart and hes got anger.	1							
1	"4th album out #red, #20millionswifties, 6 grammy awards, 10 amas, 13 bmi awards! reigning entertainer of the year acm!  #6yearstaylorswift"	1							
1	"smooches from fido: yea or nay? - july 6th was international kissing day (of the human sort). later in the month, ca..."	0							
1	it's midnight on the east coast which means its  birthday! happy 20th birthday nick j!!!!!!!!!! <333	1							
1	apple ceo apologizes for error-ridden new map app: apple ceo tim cook apologized friday for the company's error-ridden new mobile map...	-1							
1	monta ellis / ellis provided just five points on 2-of-13 shooting thursday  #nba #playersnews	0							
1	"when i teach a basketball in my own school, we're gonna spend the 1st day watching larry bird videos, & the rest will take care of itself."	0							
1	at&t offers free cloud storage for ios and android at&t on thursday announced a new service it calls at&t locker th...	0							
1	we are here  for our 12th anniversary celebration.  you still have time to make it - 6620 s. king dr	1							
1	i told you shane would get his 5th-star on rivals before signing day.	0							
1	mitch are you free on sunday to bale leaves for an hour?  if not no big deal  you can have them for animals	0							
1	"me heart will explode, i need some new about avril's 4th album"	0							
1	love how i skipped every category of the nta's besides the soaps. couldn't give half a fuck if everything else went off the air tomorrow.	1							
1	was in on sat and they only had the ray lewis home jersey.  they didn't have a lot either.	-1							
1	new york giants: game-by-game predictions for the 2nd half of the season	0							
1	c'mon c'mon does sound like queen's we will rock you somehow...	0							
1	mashed out to \niggas in paris\ in the club while in paris... as cliche as it may sound. #weouthere	0							
1	pick the chelsea team to play swansea - chelsea's focus now turns back to the premier league and on saturday we make...	0							
1	i just had a look and it seems nash to davos is a done deal along with joe thornton. i may have to pay a visit...	0							
1	my mom just texted me reminding me that grammys birthdays tomorrow.. how could i ever forget? #biggestdayoftheyear	1							
1	wow! you're also a percy jackson fan! :-) the 4th book of heroes of olympus will be entitled \house of hades\	1							
1	esperance will be without star player youssef msakni for the first leg of the champions league final against al ahly on saturday. #africa	-1							
1	the sun: paolo di canio says beating aston villa tonight would be like having sex with madonna. #legend	-1							
1	"obviously, i am not a fan of dream high 2 and i haven't even watched it! well, i watched the 1st ep,that's where i heard that song!^^"	-1							
1	"black history fact: marsalis is the 1st and only artist to win both classical and jazz grammy awards in one year, and to repeat the next yr"	1							
1	watching david letterman with no audience but playing like they are still there is the 2nd most brilliant thing i've seen tonight.	1							
1	gov. mitch daniels will announce his indiana supreme court pick at 10 a.m. will the 3rd time be the charm for a female member of the panel?	0							
1	goodnight everyone!!! talk to you all tomorrow :d i shall leave you with harry styles -a	0							
1	"most common nights to order pizza: nye, jan 1, day before thanksgiving, super bowl sunday, halloween."	0							
1	the grey and yellow gold wedding puzzle is now up with the first piece being a unique two-tone dress by	1							
1	listening to kendrick lamar.....i don't even want to get a hair cut tomorrow!!!	-1							
1	"harakah: iran army monitoring all ships in gulf: tehran, oct 28: a senior commander of the islamic revolution gu..."	0							
1	ht: norwich 0-0 #spurs. we've edged the 1st half without creating any clear cut chances. bale's had a couple of decent long range efforts.	0							
1	"guys, the marijuana law in colorado, oregon, and washington can pass this tuesday. #highhopes"	1							
1	breezin' won the best pop instrumental performance at the 19th grammy awards	1							
1	"\pacino is going to play joe paterno.  this is the 2nd time he has starred in a film, that has the line 'say hello to my little friend\- snl"	0							
1	not wearing make up to dublin tomorrow until i'm getting ready for the party. help.	-1							
1	snow may fall for parts of cny the next few days. find out where the best chances will be at 6:42 am on tv & online:	0							
1	it seem like austin rivers is tryin to had to get a bucket. i feel em tho my 1st game in the league i was trying hard too	0							
1	cofield draws leadoff walk in top 4th. zaharion at the plate.	0							
1	"aww my celebrity day is this thursday also, going as jennifer hudson though :)"	0							
1	i miss you and i better get a juge kiss and hug tomorrow night (because you will be at joe's :))	1							
1	"took me ten clicks to figure out where to early vote in colorado. that site doesn't say what you need to bring. c'mon,"	-1							
1	sat down to watch michael jackson this is it on dvd xx	0							
1	"on the set of the axis of the nigerian economy, airing every tuesday 8:30pm on nta international (dstv)"	0							
1	text from my dad: \you like charles dickens\ 1) obvs looking at my amazon wish list (too late for sunday) 2) why th surprise?!	1							
1	upset alert in acc men's soccer: #1 maryland down 4-2 to wake forest late in the 2nd...and down a man after an earlier red card.	-1							
1	really bored of this host on super sunday doing nothing but talk and rave about man utd #biasprick	-1							
1	"i may have missed out seeing noel fielding and rich fulcher today, but i did just see tom tilley! #samsimmons"	0							
1	thankfully he's in germany now. and comes home in january. still dangerous though.	-1							
1	looper was amazing!!! now to the theatre to see simon callow's 'the mystery of charles dickens' ...loving my wednesday off work :-)	1							
1	"if you're an october baby, then happy valentine's day to your folks ... they have an annual memory"	1							
1	"negros and nigglettes, all who would like to attend the a$ap rocky concert on  november 17th at starland lemme know tickets are only 25"	0							
1	"wish maddie luck next saturday, she has a solo audition for britain's got talent! :) ~ ellie xxxxx"	1							
1	"#nfl victor cruz went public this month with his desire for a new contract. on tuesday, the giants rec...  #football"	0							
1	% of joe pa masks at penn state sat? or will psu by allow then in the stadium? is it bad to wear it?	0							
1	that's crazy. i'm more jealous of u going to joe pa's grave! i was sad saturday when i walked past where the statue should be:(	-1							
1	"mizzou commemorates its win over kentucky with a t-shirt. no, really. | dr. saturday - yahoo! sports  #fb"	1							
1	who should the rock face for the wwe title at the royal rumble? i just voted #rockpunk would be a 1st to see	0							
1	lol that was our only year we may have had a chance at the superbowl. now we must wait until nick foley	0							
1	thinking a bolt action .30-06 may have to be in the cards for valentine's day or something.	0							
1	happy valentine's day!!!  everyday is the 14th!	1							
1	i have to finish reading paterno by tomorrow so i can watch football sunday and monday and prepare for the #nba2k13 release #120pagesleft	0							
1	it may be indian time tonite becky :-) xx	0							
1	just watched the campaign with will ferrell and zack galafianakis... good fun for a wednesday. #hilarious	1							
1	season ends with superbowl in first week of february.	0							
1	your review reminded me i still need 2 read the very 1st percy jackson book! heroes of olympus is an offshoot series from it?	0							
1	crazy i was in a meeting with an old nba player that was picked 3rd before larry bird	0							
1	this sunday new york giants are going down. #steelers	-1							
1	"as an introduction to literature we wrote about the woman in black, not something i particulalry want to read, may just cry #shitmyself"	-1							
1	"\  i did, the other new is in today, northern lights......\ i get payed tomorrow!"	0							
1	"just finished rehearsing with  - we are ready for the kendrick lamar show tomorrow, shout outs to wvu..."	0							
1	i posted 12 photos on facebook in the album \super sunday wid shobhit bhatia......\	0							
1	i been watching \all-access kentucky\ every wed and it has been making me like these young dudes on kentucky.	0							
1	\nick j all day\ and \#30\ on my powder puff pants. looks like i'm gonna be a stud tomorrow under the lights.	1							
1	roy ... just go ... you're a bigger embarassment than capello and mcclaren ...	-1							
1	"##$$## black friday deals nikon d3200 24.2 megapixels digital slr camera with 18-55mm nikkor vr lens, black & nikon ..."	0							
1	"han mon dieu le remix de i am the best dans dream high 2, je meurs xddd"	1							
1	"you do not want to miss this tomorrow night.  rj is moving to maryland soon, and we have a truly epic set planned..."	0							
1	don't forget mitch daniels is going to be on steven colbert's show thursday.  think this will come up as a topic?	0							
1	\ mane i gotta see that denzel movie tomorrow! shit look like its gone be a good one\ditto. im going to try to go tomorrow	1							
1	i would think you would do that if you are running for potus. it may be part of your job someday.	0							
1	"grammy and caleb going freeport tomorrow chalee,"	0							
1	but how you gon handle it if you are announcing on super bowl sunday?!! you might put that gold back in yo grill.	0							
1	i have plans to go to cvs before work today and get something.  that may be what i get. i'm going to quarantine myself today	0							
1	iphone 5: apple ceo pledges to improve new map app: apple ceo tim cook apologized on friday for the company's er...	0							
1	"full moon:oct 29th. you can read more if you have your sun sign in libra, scorpio, sag, cap, aqua or pisces"	0							
1	"drew peterson may be convicted, but there is still conflict going on  #whenwillitend #localnews #chicago"	0							
1	paterno wouldnt be charged. all hearsay on him and he did do his job (minimal as may be). he reported it. rest is speculation.	0							
1	"with all benson's attention, frankie feels like a forgotten stepchild. lets 'founding father' him so he know we will never forget 2nd place."	-1							
1	"police, protesters clash at republic day march in turkey: on a day marking the 89th anniversary of the founding ..."	-1							
1	i will be participating in a google+ hangout with  tomorrow!  i'm super excited! check it out:	1							
1	why do you think murray may leave? no way a team drafts him before the 5th or 6th round!	-1							
1	"aww love you austin rivers and happy to see you get start in 1st nba game...but it's against my boys, lets go spurs! #spurs #nba"	1							
1	i've paid a few quid for a jim white record if i recall correctly but i'm not in the biz so i may well be missing the point.	0							
1	mines personal thinking tebow is better then flacco. i don't care how bad he played sunday	1							
1	another center? gagner is a good cheap 2nd line option that we can afford and keep the kids.	1							
1	i'm still shaking my head at that decision and that the heat & knick are actually playing tomorrow at msg.	-1							
1	"the glass may be rising, but it's not getting any warmer here, lago del desierto, argentina"	-1							
1	wish i could make that trip to athens on tuesday	1							
1	"apple software, retail chiefs out in overhaul: san francisco (reuters) - apple inc ceo tim cook on monday pushed out the powerful hea..."	0							
1	i want to watch the grey... for the 16th time.	1							
1	capello says time for russia to win big match: russia manager fabio capello on thursday said that he intended to...	0							
1	i'm hosting the day party @ spartacus friday from 2-6 and then @ spy in raleigh that night!	0							
1	\eli manning hopes the giants can uplift the spirits of the millions affected by sandy in ny with their game against the steelers on sunday\	0							
1	the mccormick place....rite here by the hyatt hotel on like 23rd nd king dr.	0							
1	fabio capello: \from what i've seen these days i can assure you russia are capable of getting a good result vs portugal tomorrow\. #cantwait	1							
1	not necessarily. in nevada it may help obama because its one less vote for romney. but i know what you mean hah.	0							
1	"parker, leonard steal okc's thunder: ninety minutes before tipoff thursday night at the at&t center, oklahoma ci..."	-1							
1	i really do hope they finish the trade by tuesday or wednesday. gagner is a real solid player and could help the sabres	1							
1	after watching the campaign again i have realized that step brothers is still the funniest will ferrell movie but this one is in 2nd place	1							
1	"he's on the plane to amsterdam now, bet he's not in class tomorrow"	0							
1	i really wanna go to one of his things! did you watch his new thing on channel 4 last friday? xx	1							
1	i -may- be the only girl on the face of the earth that doesn't find channing tatum attractive. #callmecrazy #justsayin #donthateme	-1							
1	"obama may have been better off staying put, personally i'm glad he's back on the trail- he's helping move people to mitt!"	1							
1	"cold pizza and mass effect 3. i want my leg healed!! going to look up some voodoo shit. i'll be walking, jumping and running tomorrow."	0							
1	"remember cupid at convo last year with the bomb candy bar?? if you liked that, you'll love next tuesday's tr"	1							
1	"on november 16 ; me, my mom, and my sister are going to see \breaking dawn: part 2\ #judgeus"	0							
1	channing tatum will be in white oak tomorrow...for all you stalkers out there	0							
1	i fly that saturday the 15th from detroit to amsterdam then up to newcastle	0							
1	"my dad & the builder are talking about city and it turns out the builder is sat the row behind me at the aston villa game, fuck sake"	-1							
1	games played during the week are now more interesting than super sunday!	1							
1	#hulu video game trailers - launch trailer: check out the launch trailer for mass effect 3. added: fri oct 26 00...	0							
1	i'd watch cougar town over this any day! january 8 on tbs. very funny. #firedooley	1							
1	stacie just hit me up and said my packages might be up here tomorrow if that's the case i'm not going to the rave in san fran. #priorities	-1							
1	of course it's aston villa.  played them off the park on saturday.  bring it on!	0							
1	"matching cofield in sacks. but, this is only the 1st pre-season game so.... we'll see."	0							
1	give me 5 mins with candy the dancer from deja vu i'm nutting on my 4th pump she that bad lol	-1							
1	kevin hart show at msg on november 10th is going to be beautiful	1							
1	"do you know ?they may not but we're so fond of all the countries . uh,happy republic day ."	1							
1	cof cof~  someone is going to germany on november 30 ...oh i really envy you   :)	1							
1	"thank you snow for cancelling classes today. now you may stop snowing, so that i can drive to chapel hill tomorrow. i'd really appreciate it"	1							
1	chick in my class said flacco is the best qb in the league. 1- why is a chick talkin football. 2. i cant wait for class tomorrow lol	1							
1	#entrepreneur #angelinvestor pitch in on the new birthday party / super bowl sunday treat	1							
1	#oilersmobile: july 20: sam gagner |     nice to have you there for at least another year!	1							
1	think i might go see flight tomorrow just because denzel washington ..	1							
1	mohamed nasheed's press brief about coni report - 31 aug 2012:  via	0							
1	i wish the best of luck to the boro football players and hope they kick butt saturday for shaun #winitforshaun	1							
1	calling all reality tv fans: we're inviting li reality tv stars to join a google+ hangout on sunday and you can too.	0							
1	"honesty is often best policy: fabio capello, russia coach: \i was hoping ronaldo's injury was more serious so he couldn't play tomorrow.\"	-1							
1	"bestie we gotta go see \flight\ with denzel washington, comes out friday. seems so good"	1							
1	"i don't know what y'all will be doing on november 1, but i'll be in a google+ hangout with jordy nelson!! #squeeeeee"	0							
1	"dinner in athens with my friend,  preparing for our game on  this saturday. #olemiss #georgia"	0							
1	":) most def, i think when you come tomorrow the boys will be here."	1							
1	this is austin rivers 1st game and people sucking him he a rookie chill !	-1							
1	hello. may i ask how did you get on set of castle?	0							
1	"throwback thursday! daddy and joe pa! rip to, in my eyes, still the most winningest coach in college footbal"	1							
1	"\  gagner's agent says talks continue, will have hearing on friday if no deal\ msm just proved you're #clueless!"	-1							
1	"im enjoying celebrity juice instead of sleep, going to be fooked tomorrow though"	1							
1	"the woman in black - the legendary ghost thriller, touring to dubai and abu dhabi in november & december. more..."	1							
1	can it please be wednesday and potus has been re elected. then we can move this country #forward!	0							
1	jacksonville really sound like the move tomorrow	0							
1	#asimplelife opens tomorrow at lee's 4-star in san fran - roger ebert called it \one of the year's best films\	0							
1	nooooooooo!!!!!! maybe you can just look over it right before the test tomorrow and do that first	-1							
1	#hcafc loan keeper ben amos named in the england under-21s side to face azerbaijan next thursday and norway on sept 10.	0							
1	"norv turner calls a play action pass on 1st & goal at the half-yard line, rivers throws a pick. #chargers"	0							
1	celebrity juice. best thing on about a thursday	1							
1	my friends and i are betting joe wets his pants when he sees the whopping mittens will get nov 6	0							
1	waheed proposed mdp to join the  gov prior coni's verdict. 7 feb controversial power transfer refrained mdp joining the govt.	-1							
1	me and  booked in to see a good day to die hard on february 14 2013 (valentine's day).	0							
1	\ frankie: i think i'm gonna have a date with my bed tomorrow me: same.\ that's my boy	1							
1	pray for mohamed morsi the new president of egypt that he may continue to be a leader for freedom and peace.	1							
1	i may spend a lot of my free time riding on random elevators hoping for a chance encounter with bill murray...	1							
1	wvu goes for it on every 4th down. is our kicker worst than cundiff?	-1							
1	was it becky? cause she told me about it.. i'll figure it out tomorrow..	0							
1	"axl rose needs to just give up. now. not later, not soon, not tomorrow. now!"	-1							
1	dr. mohamed morsi announced as egypt's 1st elected president after the glorious 25th of jan revolution. congratulations to egypt! :)	1							
1	shout out to my boy  who fights tomorrow night on the las vegas #rfa card. he's put in the work so i don't need to wish him luck.	1							
1	dec 16th. i know it's so far and near the end of sagittarius but i'm a full blown sag girl :) lol	1							
1	"if you're on the isle of man next thurs, i'll be talking about safe house and signing books at waterstones from 6.30pm."	0							
1	pbr &  bring you jim white at the  lounge on october 23rd at 7 pm!	0							
1	happy halloween!! starting this wicked wednesday off listening to pink floyd and leonard cohen. get to take my boys out tonight! yay!!	1							
1	i wonder what cortese is thinking after watching that 1st half of total wank? as for boruc you are a disgrace and a complete twat. #saintsfc	-1							
1	sad i won't get to see  on the challenge: battle of the seasons tonight :( i guess i'll have to wait until next wednesday..	-1							
1	"austin rivers needs to get stronger, #spurs guards muscling him tonight. he started and just now scored in 4th. #hornets"	-1							
1	july 28th national milk chocolate day. you might say milk chocolate is the star of the chocolate (cont)	0							
1	on sunday november 4th olympus experts will be on hand at the currys store in cambridge.  from 10:30am until...	0							
1	"happy valentines day <3... only if you live in brazil, otherwise its just another irritating monday."	1							
1	okay me and  are about to watch the woman in black. this may be a terrible night.	-1							
1	saturday i buy my ticket for the #tmhtour in belgium! i'm so happy!!!!	1							
1	"this goes way too fast :o its been already a year that i saw avril lavigne in concert <3 october 25 2011, one of the best day of my life :d"	1							
